genre,0
Game-Show,15
Short,53
Talk-Show,129
Reality-TV,411
Film-Noir,764
News,1368
Sport,5712
Animation,6693
Western,7253
War,8139
Adult,8258
Sci-Fi,8508
Musical,9154
Music,10439
Fantasy,11301
History,11783
Biography,13447
Mystery,13517
Family,14899
Adventure,22248
Horror,24877
Thriller,29523
Crime,30478
Romance,40783
Action,41194
Comedy,90395
Documentary,104229
Drama,190093
Total,705663
